Latest: Time (s)	Latest: Potential (V)
43.7	4.046092796
43.8	4.119352869
43.9	4.107142857
44	4.094932845
44.1	4.055250305
44.2	4.082722833
44.3	4.036935287
44.4	4.088827839
44.5	4.085775336
44.6	4.076617827
44.7	4.036935287
44.8	4.07967033
44.9	4.006410256
45	4.088827839
45.1	4.07967033
45.2	4.033882784
45.3	4.073565324
45.4	4.076617827
45.5	4.070512821
45.6	4.088827839
45.7	4.070512821
45.8	4.027777778
45.9	4.097985348
46	4.046092796
46.1	4.085775336
46.2	4.055250305
46.3	4.036935287
46.4	4.064407814
46.5	3.991147741
46.6	4.052197802
46.7	4.033882784
46.8	4.073565324
46.9	4.024725275
47	4.021672772
47.1	4.113247863
47.2	4.07967033
47.3	4.055250305
47.4	4.015567766
47.5	4.049145299
47.6	4.00030525
47.7	4.043040293
47.8	4.101037851
47.9	4.088827839
48	4.049145299
48.1	4.024725275
48.2	4.113247863
