Latest: Time (s)	Latest: Potential (V)
45	3.948412698
45.1	3.954517705
45.2	3.93009768
45.3	3.981990232
45.4	4.015567766
45.5	3.985042735
45.6	3.905677656
45.7	3.869047619
45.8	3.963675214
45.9	3.948412698
46	3.939255189
46.1	3.960622711
46.2	3.933150183
46.3	3.881257631
46.4	3.960622711
46.5	3.981990232
46.6	3.988095238
46.7	4.015567766
46.8	3.963675214
46.9	3.89957265
47	3.939255189
47.1	3.972832723
47.2	3.960622711
47.3	3.972832723
47.4	3.927045177
47.5	3.981990232
47.6	3.948412698
47.7	3.960622711
47.8	3.960622711
47.9	4.006410256
48	3.960622711
48.1	3.945360195
48.2	4.006410256
48.3	3.954517705
48.4	3.994200244
48.5	3.975885226
48.6	3.960622711
48.7	4.021672772
48.8	4.003357753
48.9	3.963675214
49	4.003357753
49.1	3.966727717
49.2	3.963675214
49.3	3.991147741
49.4	4.003357753
49.5	3.945360195
49.6	3.96978022
49.7	3.896520147
49.8	3.978937729
49.9	3.975885226
50	3.957570208
50.1	3.954517705
50.2	3.991147741
50.3	4.024725275
